 ,Area,Mean,Min,Max,X,Y,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,60,1.000,1,1,306.250,319.100,0.803,9.790,301.950,321.540,33.755,8.494,1.095,0.913,0.984
2,86,2.000,2,2,4.570,446.837,0.822,11.471,-0.570,449.890,33.732,10.509,1.078,0.928,0.910
3,54,3.000,3,3,280.278,152.537,0.762,9.383,276.410,155.230,44.698,8.521,1.070,0.934,0.908
4,86,4.000,4,4,273.488,501.872,0.867,12.239,271.680,495.700,103.321,9.347,1.341,0.745,0.972
5,58,4.931,1,5,302.276,326.224,0.805,9.566,298.420,323.770,146.210,8.184,1.069,0.935,0.959
6,44,6.000,6,6,272.364,328.318,0.756,9.155,268.720,331.030,33.777,7.278,1.177,0.850,0.907
7,57,7.000,7,7,287.009,161.079,0.814,9.422,282.480,163.190,16.589,8.174,1.223,0.817,0.912
8,50,8.000,8,8,234.640,278.800,0.784,9.336,230.780,276.010,146.225,7.623,1.116,0.896,0.909
9,56,9.000,9,9,250.500,103.161,0.743,9.727,247.950,98.680,111.659,8.015,1.300,0.769,0.911
10,74,10.000,10,10,177.797,125.284,0.884,11.058,174.780,130.060,56.209,8.388,1.316,0.760,0.967
11,54,11.000,11,11,324.130,510.463,0.803,9.649,319.280,510.500,174.827,7.348,1.289,0.776,0.964
12,57,12.000,12,12,364.728,277.763,0.811,9.869,360.140,275.590,162.850,7.562,1.357,0.737,0.912
13,48,13.000,13,13,350.500,495.000,0.878,9.119,347.690,498.710,51.232,7.483,1.219,0.820,1.000
14,63,14.000,14,14,208.802,116.643,0.832,10.281,206.070,112.860,123.736,8.085,1.261,0.793,0.913
15,59,15.000,15,15,162.483,484.246,0.754,11.260,157.880,487.590,33.775,7.447,1.564,0.639,0.861
16,99,16.000,16,16,262.389,264.116,0.847,14.062,256.510,260.500,151.777,9.382,1.553,0.644,0.947
17,46,17.000,17,17,684.543,498.261,0.749,9.191,680.600,495.890,146.224,7.124,1.280,0.781,0.939
18,65,18.000,18,18,183.269,106.254,0.763,11.658,183.840,99.760,99.131,8.628,1.274,0.785,0.942
19,45,19.000,19,19,196.300,202.944,0.825,8.946,192.990,200.160,134.139,7.184,1.236,0.809,0.928
20,65,20.000,20,20,136.669,492.392,0.788,10.980,132.120,489.570,146.252,8.503,1.304,0.767,0.963
21,56,21.000,21,21,147.964,494.357,0.742,10.359,142.570,493.320,159.133,8.405,1.246,0.803,0.933
22,60,22.000,22,22,466.983,457.433,0.796,10.718,462.710,453.970,133.148,8.260,1.298,0.770,0.938
23,129,23.000,23,23,167.074,492.740,0.944,14.130,160.040,492.500,0.000,11.590,1.211,0.826,1.004
24,38,24.000,24,24,382.263,446.684,0.897,7.441,379.340,444.390,140.727,6.723,1.070,0.934,0.938
25,55,25.000,25,25,257.736,150.227,0.826,10.520,252.520,150.500,0.000,7.074,1.604,0.623,0.991
26,54,26.000,26,26,544.481,506.667,0.788,10.034,540.260,509.330,45.040,7.833,1.258,0.795,0.939
27,50,27.000,27,27,240.800,63.600,0.774,8.861,237.890,60.590,123.726,7.818,1.210,0.826,0.935
28,35,28.000,28,28,284.386,327.700,0.794,7.460,284.500,323.990,90.000,6.809,1.141,0.876,0.933
29,57,29.000,29,29,232.184,108.447,0.786,10.388,226.900,107.390,158.424,7.225,1.414,0.707,0.927
30,78,30.000,30,30,280.462,359.346,0.861,12.400,277.370,353.820,123.754,8.336,1.507,0.664,0.945
31,52,31.000,31,31,278.827,176.788,0.758,9.504,275.910,180.380,44.574,8.298,1.115,0.897,0.954
32,47,32.000,32,32,390.372,481.053,0.876,8.717,387.160,478.270,146.273,7.505,1.130,0.885,1.000
33,43,33.000,33,33,262.547,280.198,0.804,9.078,258.460,277.800,146.275,6.753,1.239,0.807,0.935
34,35,34.000,34,34,192.643,166.414,0.772,7.972,191.740,170.330,78.789,6.043,1.326,0.754,0.986
35,35,35.000,35,35,394.357,454.871,0.852,7.824,392.160,458.010,56.310,6.285,1.108,0.902,0.972
36,42,36.000,36,36,186.357,185.143,0.827,7.927,183.380,182.420,134.233,7.103,1.112,0.900,0.923
37,47,37.000,37,37,344.500,278.500,0.847,8.559,341.010,280.830,33.709,7.088,1.093,0.915,0.922
38,57,38.000,38,38,206.728,103.482,0.852,9.803,206.500,108.520,76.191,7.431,1.380,0.724,0.912
39,35,39.000,39,39,286.243,335.357,0.878,7.190,286.500,331.860,90.000,6.364,1.094,0.914,0.986
40,41,40.000,40,40,192.793,192.500,0.845,8.825,189.020,190.180,146.274,6.633,1.335,0.749,0.965
41,73,41.000,41,41,343.678,501.336,0.832,12.466,337.410,503.440,8.767,7.917,1.589,0.629,0.967
42,40,42.000,42,42,384.050,380.450,0.814,7.794,380.870,382.930,33.751,7.008,1.032,0.969,1.000
43,41,43.000,43,43,150.646,486.280,0.901,7.849,147.620,483.620,140.428,7.137,1.078,0.927,1.012
44,39,44.000,44,44,559.987,488.833,0.758,8.664,556.460,491.200,38.722,7.069,1.320,0.757,0.848
45,37,45.000,45,45,230.500,130.500,0.915,7.838,227.160,132.730,33.710,6.072,1.286,0.778,0.902
46,52,46.000,46,46,188.712,133.654,0.859,8.875,185.790,130.440,123.744,7.986,1.175,0.851,0.912
47,34,47.000,47,47,354.441,354.000,0.920,7.048,351.290,352.360,141.162,6.163,1.094,0.914,0.907
48,42,48.000,48,48,634.429,476.190,0.856,8.217,631.330,473.330,135.000,7.232,1.059,0.944,0.988
49,58,49.000,49,49,118.879,503.810,0.862,10.180,115.210,500.300,132.293,7.925,1.284,0.779,0.967
50,37,50.000,50,50,92.878,486.176,0.878,8.220,88.820,486.500,0.000,5.852,1.357,0.737,0.961
51,29,51.000,51,51,254.293,88.466,0.903,6.922,251.550,86.530,140.746,5.612,1.044,0.958,0.951
52,35,52.000,52,52,325.129,486.700,0.818,7.585,322.200,484.200,141.423,6.364,1.274,0.785,0.959
53,49,53.000,53,53,321.663,325.235,0.891,8.980,319.450,329.060,51.828,7.360,1.176,0.850,0.933
54,48,54.000,54,54,260.917,187.104,0.847,9.316,257.080,184.220,146.293,7.164,1.357,0.737,0.980
55,38,55.000,55,55,286.053,234.763,0.879,7.722,284.260,231.150,112.780,6.515,1.109,0.901,0.962
56,47,56.000,56,56,74.947,475.883,0.800,9.055,70.640,473.920,163.446,7.362,1.107,0.903,0.887
57,30,57.000,57,57,550.133,488.800,0.927,6.898,547.360,490.600,38.880,5.802,1.175,0.851,0.968
58,41,58.000,58,58,204.573,176.793,0.884,8.357,202.060,180.150,56.272,6.454,1.311,0.763,0.953
59,54,59.000,59,59,231.296,99.444,0.873,9.162,226.950,100.870,14.992,7.540,1.274,0.785,0.991
60,46,60.000,60,60,270.043,146.609,0.811,9.308,266.540,143.860,146.259,6.868,1.222,0.818,0.989
61,49,61.000,61,61,296.337,494.500,0.830,9.696,292.400,491.760,146.228,6.952,1.374,0.728,0.990
62,51,62.000,62,62,307.069,515.637,0.760,9.162,302.540,513.850,163.187,7.934,1.039,0.962,0.911
63,55,63.000,63,63,259.664,141.664,0.798,10.673,254.850,140.060,166.784,6.888,1.584,0.631,0.948
64,30,64.000,64,64,210.333,486.900,0.835,7.137,208.230,489.900,51.428,5.918,1.134,0.882,0.952
65,40,65.000,65,65,81.175,490.750,0.847,7.953,78.200,488.200,141.689,7.059,1.077,0.928,0.899
66,77,66.000,66,66,190.162,114.942,0.852,11.924,187.170,109.520,112.328,8.477,1.414,0.707,0.951
67,41,67.000,67,67,184.793,168.573,0.728,9.771,181.900,164.600,123.690,6.493,1.462,0.684,0.932
68,47,68.000,68,68,219.074,109.223,0.852,9.238,218.500,114.090,75.904,6.506,1.459,0.686,0.979
69,36,69.000,69,69,488.583,499.167,0.822,7.489,486.310,496.310,128.385,6.729,1.010,0.990,0.889
70,35,70.000,70,70,310.957,194.071,0.849,7.740,307.030,194.500,0.000,5.501,1.351,0.740,0.921
71,41,71.000,71,71,408.012,400.402,0.838,8.443,405.950,396.680,123.746,6.490,1.246,0.803,0.953
72,61,72.000,72,72,380.795,501.992,0.810,11.044,380.500,496.760,97.492,7.047,1.561,0.641,0.961
73,42,73.000,73,73,420.857,462.024,0.827,8.659,418.070,458.860,123.745,6.454,1.288,0.776,0.966
74,49,74.000,74,74,288.092,489.133,0.810,9.030,284.870,486.080,134.417,7.603,1.105,0.905,0.961
75,49,67.531,14,75,203.582,112.745,0.865,8.946,202.500,116.780,71.626,7.678,1.073,0.932,0.980
76,33,76.000,76,76,150.591,504.985,0.803,8.010,147.560,502.540,146.251,6.032,1.281,0.781,1.065
77,35,77.000,77,77,275.186,482.271,0.808,8.600,271.100,482.500,0.000,5.297,1.604,0.623,0.933
78,41,78.000,78,78,87.915,495.012,0.873,7.772,84.480,497.190,38.050,7.038,1.086,0.921,0.891
79,32,79.000,79,79,208.500,71.906,0.821,6.979,205.220,70.310,141.340,6.354,1.082,0.924,0.941
80,33,80.000,80,80,318.773,353.955,0.841,7.699,316.530,357.450,56.227,5.965,1.233,0.811,1.000
81,31,81.000,81,81,272.016,134.597,0.931,7.006,269.270,132.340,141.200,5.802,1.127,0.887,0.969
82,26,82.000,82,82,630.192,470.500,0.774,6.873,627.830,473.170,45.000,5.773,1.142,0.876,0.945
83,38,83.000,83,83,264.842,210.026,0.886,7.733,261.820,207.820,140.773,6.334,1.206,0.829,0.987
84,37,80.865,26,84,539.149,502.581,0.874,7.671,538.500,506.150,84.089,6.592,1.132,0.883,0.974
85,42,85.000,85,85,302.881,500.381,0.896,8.499,299.540,497.540,140.729,6.707,1.242,0.805,0.923
86,56,86.000,86,86,511.982,517.768,0.831,10.704,506.750,518.500,14.776,6.833,1.575,0.635,0.966
87,42,87.000,87,87,363.190,516.524,0.771,9.727,358.570,515.720,168.736,6.034,1.658,0.603,0.977
88,44,88.000,88,88,715.727,488.523,0.830,9.083,712.110,491.440,33.778,6.829,1.341,0.746,0.917
89,38,89.000,89,89,439.132,490.579,0.868,7.626,438.500,494.430,72.919,6.605,1.083,0.924,0.962
90,25,90.000,90,90,86.460,460.300,0.767,6.486,83.540,458.520,141.133,5.840,1.065,0.939,0.962
91,46,91.000,91,91,416.065,479.674,0.788,9.442,411.210,479.450,9.941,6.861,1.372,0.729,0.868
92,39,90.462,32,92,386.500,486.346,0.868,8.060,384.120,482.940,123.769,6.651,1.226,0.816,0.940
93,38,93.000,93,93,352.868,454.026,0.847,8.002,350.190,451.050,123.789,6.500,1.176,0.850,0.864
94,35,94.000,94,94,127.071,496.414,0.785,7.751,123.970,493.970,141.075,6.616,1.156,0.865,0.909
95,58,95.000,95,95,411.759,496.552,0.823,11.199,406.610,493.900,152.794,7.137,1.603,0.624,0.991
96,36,96.000,96,96,608.750,481.972,0.852,7.632,605.370,480.410,164.106,5.720,1.276,0.784,0.911
97,36,97.000,97,97,204.750,90.500,0.773,8.759,202.160,93.990,56.219,6.075,1.325,0.755,0.947
98,36,98.000,98,98,286.333,183.917,0.857,7.578,284.120,180.930,128.624,6.480,1.106,0.905,0.900
99,43,97.884,75,99,199.012,117.988,0.921,7.937,195.290,116.360,158.024,6.954,1.242,0.805,0.956
100,40,100.000,100,100,176.475,137.200,0.794,7.985,173.920,140.360,51.508,6.915,1.033,0.968,0.909
101,37,101.000,101,101,533.149,495.311,0.867,8.008,529.380,496.590,15.130,6.195,1.229,0.814,0.987
102,33,102.000,102,102,389.076,500.833,0.854,7.378,386.430,498.430,141.825,5.935,1.143,0.875,0.985
103,38,100.632,73,103,418.421,455.684,0.888,7.696,416.360,452.360,113.834,6.384,1.253,0.798,0.962
104,39,104.000,104,104,444.500,481.551,0.784,8.553,442.500,485.490,69.467,6.702,1.344,0.744,0.987
105,32,105.000,105,105,207.094,204.594,0.872,7.410,204.110,206.890,38.865,5.593,1.199,0.834,1.000
106,32,105.625,100,106,172.000,133.000,0.822,7.006,168.880,134.920,24.992,6.491,1.000,1.000,0.985
107,34,107.000,107,107,366.294,418.382,0.854,7.874,364.220,415.080,123.710,5.703,1.351,0.740,0.919
108,34,108.000,108,108,326.853,251.176,0.886,7.583,324.770,247.920,123.816,6.035,1.203,0.831,1.000
109,32,109.000,109,109,403.844,461.531,0.792,7.086,403.600,465.020,78.769,6.165,1.131,0.884,0.941
110,41,110.000,110,110,373.427,475.037,0.855,8.854,369.180,473.840,161.770,6.134,1.598,0.626,0.965
111,38,111.000,111,111,357.868,436.842,0.908,7.673,354.160,437.360,1.494,6.203,1.313,0.762,0.962
112,28,112.000,112,112,322.714,276.571,0.818,6.942,320.540,279.430,56.218,5.992,1.077,0.929,0.966
113,30,113.000,113,113,240.967,124.967,0.816,7.025,237.750,123.950,168.754,5.732,1.107,0.904,0.952
114,31,114.000,114,114,179.242,512.952,0.848,6.978,176.530,510.530,141.751,6.111,1.069,0.935,1.000
115,41,115.000,115,115,361.280,446.012,0.926,7.747,360.500,442.290,106.189,6.570,1.240,0.807,1.000
116,54,116.000,116,116,626.278,476.870,0.821,10.071,623.760,472.410,123.785,7.597,1.401,0.714,0.900
117,32,117.000,117,117,345.969,443.688,0.832,7.031,344.150,446.850,50.946,6.092,1.216,0.822,0.941
118,43,118.000,118,118,328.291,358.616,0.782,9.452,324.530,355.850,146.260,6.624,1.390,0.719,0.935
119,32,119.000,119,119,316.406,246.438,0.813,8.118,314.060,242.850,123.749,5.440,1.423,0.703,0.941
120,45,120.000,120,120,521.233,505.656,0.862,8.391,517.490,507.100,25.710,7.147,1.243,0.804,0.909
121,34,119.441,68,121,224.559,103.941,0.741,8.761,221.670,107.330,51.116,6.261,1.174,0.852,0.944
122,37,122.000,122,122,154.500,479.392,0.733,8.625,151.070,477.080,151.087,5.951,1.368,0.731,0.902
123,32,123.000,123,123,191.156,483.188,0.807,7.128,187.660,484.400,15.460,6.062,1.231,0.812,1.016
124,39,124.000,124,124,371.859,439.731,0.808,8.569,368.350,437.730,141.539,6.501,1.283,0.779,0.929
125,37,125.000,125,125,400.959,435.770,0.870,8.056,398.290,438.710,51.907,6.167,1.347,0.742,0.974
126,61,126.000,126,126,344.025,433.779,0.797,11.688,340.810,428.980,123.731,7.061,1.437,0.696,0.924
127,32,127.000,127,127,99.500,490.281,0.743,7.988,95.980,487.980,141.251,6.302,1.270,0.788,0.928
128,32,128.000,128,128,400.688,417.062,0.774,7.982,398.250,414.250,141.766,5.800,1.513,0.661,0.928
129,27,129.000,129,129,272.685,293.796,0.791,6.614,269.490,292.490,141.137,5.876,1.056,0.947,0.931
130,42,130.000,130,130,332.619,260.452,0.772,9.061,328.740,257.980,146.205,6.379,1.396,0.716,0.923
131,32,131.000,131,131,349.969,513.312,0.775,7.099,346.740,515.010,15.524,6.408,1.216,0.822,0.889
132,28,132.000,132,132,255.714,237.036,0.827,6.740,252.730,239.020,37.465,5.886,1.055,0.948,0.889
133,53,133.000,133,133,189.255,156.179,0.886,9.358,185.270,158.660,33.758,7.618,1.302,0.768,0.914
134,44,131.955,44,134,565.045,493.159,0.861,8.712,561.270,491.160,150.728,6.733,1.424,0.702,0.936
135,40,135.000,135,135,324.625,501.250,0.819,8.787,320.730,499.750,155.885,6.033,1.522,0.657,1.013
136,33,136.000,136,136,210.136,224.439,0.902,7.220,210.500,220.640,90.000,5.389,1.214,0.824,0.892
137,50,137.000,137,137,194.020,181.200,0.771,9.652,190.290,177.680,135.294,7.490,1.262,0.793,0.962
138,55,131.727,23,138,177.100,491.009,0.932,9.524,173.190,488.290,146.260,7.706,1.218,0.821,0.965
139,34,139.000,139,139,141.941,502.500,0.898,7.053,139.080,504.790,38.495,6.202,1.019,0.982,0.907
140,30,140.000,140,140,392.067,376.033,0.827,7.300,388.790,374.020,141.843,5.591,1.144,0.874,0.968
141,43,141.000,141,141,186.733,148.640,0.857,8.811,186.500,153.020,84.464,6.389,1.516,0.660,0.989
142,41,142.000,142,142,325.573,373.037,0.860,8.100,324.210,369.070,106.422,6.405,1.225,0.816,0.932
143,32,143.000,143,143,234.844,93.125,0.815,7.216,232.520,90.520,128.077,6.482,1.034,0.967,0.914
144,54,144.000,144,144,374.167,448.889,0.924,9.264,369.500,450.570,12.911,7.633,1.183,0.845,0.908
145,27,145.000,145,145,447.944,466.944,0.827,6.598,445.530,464.510,141.028,5.573,1.152,0.868,0.964
146,26,146.000,146,146,330.115,471.615,0.744,6.964,328.160,469.000,128.236,5.620,1.038,0.964,0.929
147,28,147.000,147,147,402.500,447.536,0.758,6.661,399.290,446.350,141.461,6.189,1.054,0.949,0.889
148,25,148.000,148,148,255.060,122.420,0.953,5.966,252.500,120.500,153.521,4.840,1.230,0.813,1.136
149,37,149.000,149,149,319.851,378.419,0.784,7.945,316.570,375.870,141.644,6.650,1.132,0.883,0.892
150,42,150.000,150,150,283.476,500.119,0.689,8.870,281.820,503.900,71.872,6.906,1.248,0.801,0.875
151,44,151.000,151,151,436.614,507.795,0.787,9.510,431.960,507.600,0.542,6.138,1.461,0.685,0.926
152,36,152.000,152,152,298.611,486.750,0.767,8.939,294.750,483.990,146.221,5.930,1.467,0.682,0.947
153,53,153.000,153,153,110.387,493.500,0.777,11.451,105.620,491.310,157.511,6.464,1.747,0.572,0.964
154,43,154.000,154,154,232.733,293.337,0.813,9.363,229.350,290.390,132.620,6.187,1.403,0.713,0.887
155,39,155.000,155,155,284.346,352.449,0.865,8.232,280.780,350.010,146.194,6.168,1.393,0.718,0.929
156,31,137.677,14,156,212.371,122.984,0.772,7.737,209.150,121.110,151.514,5.747,1.400,0.714,0.939
157,33,157.000,157,157,159.288,510.258,0.793,7.630,156.440,512.560,38.027,5.921,1.391,0.719,0.985
158,31,158.000,158,158,356.306,490.177,0.847,7.306,353.960,493.040,50.777,5.969,1.251,0.799,0.939
159,51,159.000,159,159,293.010,230.755,0.827,10.269,291.510,226.120,104.090,6.602,1.708,0.585,0.962
160,33,160.000,160,160,266.076,107.348,0.747,7.544,263.140,105.110,151.668,6.346,1.246,0.803,0.904
161,32,161.000,161,161,208.781,493.750,0.821,7.084,206.330,491.250,128.811,6.301,1.138,0.878,0.914
162,31,162.000,162,162,265.500,162.823,0.730,7.310,264.500,166.240,72.730,6.384,1.180,0.848,0.849
163,30,163.000,163,163,408.433,393.233,0.754,8.154,404.840,391.770,156.358,5.357,1.692,0.591,0.909
164,26,164.000,164,164,300.500,344.615,0.840,6.518,298.770,347.090,56.261,5.414,1.080,0.926,0.945
165,40,165.000,165,165,199.075,170.475,0.833,8.324,197.760,174.210,66.268,6.419,1.229,0.814,0.988
166,26,166.000,166,166,236.846,480.038,0.816,6.817,234.430,482.570,38.568,5.140,1.391,0.719,0.929
167,32,167.000,167,167,243.531,136.750,0.908,7.789,240.480,134.480,142.144,5.435,1.497,0.668,1.000
168,28,168.000,168,168,405.571,468.179,0.701,7.028,404.140,464.970,128.240,5.439,1.210,0.826,0.903
169,36,169.000,169,169,350.528,371.639,0.731,8.617,346.230,369.650,146.310,6.160,1.451,0.689,0.986
170,25,170.000,170,170,424.980,443.900,0.772,6.675,422.010,442.010,135.000,5.663,1.063,0.941,0.833
171,47,171.000,171,171,344.521,340.181,0.705,10.376,339.850,337.400,146.279,7.418,1.423,0.703,0.870
172,33,172.000,172,172,437.682,474.561,0.750,7.400,434.740,471.990,141.860,5.896,1.237,0.808,0.917
173,19,173.000,173,173,316.184,258.026,0.721,6.038,313.760,256.670,141.118,5.111,1.120,0.892,0.974
174,47,174.000,174,174,344.585,388.202,0.780,10.706,341.590,392.850,56.236,6.034,1.783,0.561,0.922
175,26,175.000,175,175,217.000,486.038,0.835,6.684,214.550,488.450,51.621,5.459,1.228,0.814,0.912
176,34,176.000,176,176,475.265,508.471,0.859,7.857,472.160,506.160,141.511,6.207,1.130,0.885,1.030
177,34,177.000,177,177,407.471,512.353,0.775,7.965,404.150,510.150,141.576,6.248,1.268,0.789,0.971
178,42,176.571,158,178,358.667,495.167,0.849,8.304,354.900,496.900,16.798,6.964,1.162,0.861,0.944
179,31,179.000,179,179,210.113,160.016,0.834,7.520,210.500,156.060,90.000,5.273,1.315,0.760,0.861
180,39,180.000,180,180,234.397,85.679,0.753,8.983,230.210,83.630,146.257,6.184,1.599,0.625,0.940
181,31,181.000,181,181,168.177,123.468,0.836,7.534,167.340,119.710,105.789,5.795,1.288,0.776,0.939
182,37,182.000,182,182,217.068,178.095,0.808,7.822,214.460,175.450,135.932,6.490,1.240,0.807,0.987
183,31,183.000,183,183,418.597,491.952,0.795,7.075,416.400,494.600,51.543,6.109,1.150,0.870,0.886
184,29,184.000,184,184,255.328,249.810,0.762,7.014,251.930,251.010,25.505,5.479,1.215,0.823,0.866
185,26,185.000,185,185,96.000,470.038,0.813,6.836,93.080,468.220,141.772,5.044,1.228,0.814,0.912
186,25,186.000,186,186,203.620,154.300,0.756,6.211,200.390,153.630,171.948,5.357,1.170,0.855,0.926
187,57,187.000,187,187,332.272,280.728,0.824,10.772,329.510,276.020,123.719,6.915,1.633,0.612,0.927
188,22,188.000,188,188,322.545,229.409,0.736,6.542,320.600,226.600,128.359,5.464,1.288,0.776,0.936
189,30,189.000,189,189,417.700,508.767,0.801,6.979,415.200,506.290,141.340,5.884,1.206,0.829,0.857
190,28,190.000,190,190,210.214,94.143,0.922,6.715,208.400,91.360,128.713,5.087,1.283,0.779,0.918
191,30,191.000,191,191,223.467,509.033,0.783,7.609,220.660,506.660,142.422,5.343,1.373,0.728,0.938
192,29,192.000,192,192,273.948,163.603,0.822,6.985,272.460,160.460,106.982,5.748,1.080,0.926,0.921
193,28,193.000,193,193,63.321,482.143,0.852,6.638,60.280,480.280,147.052,5.432,1.225,0.817,0.933
194,27,194.000,194,194,288.537,343.315,0.820,6.798,286.510,340.510,128.370,5.394,1.270,0.788,1.080
195,26,195.000,195,195,233.192,240.962,0.778,6.849,229.820,240.500,173.124,5.461,1.202,0.832,0.867
196,45,196.000,196,196,203.811,123.500,0.895,8.179,200.310,121.700,155.127,7.151,1.109,0.902,0.968
197,30,197.000,197,197,441.700,517.067,0.785,6.960,438.640,519.080,37.528,5.992,1.102,0.908,0.938
198,30,198.000,198,198,356.900,302.467,0.795,7.541,354.520,299.540,123.753,5.961,1.306,0.766,0.968
199,28,199.000,199,199,277.821,315.214,0.855,6.505,276.410,312.410,108.741,5.549,1.143,0.875,0.862
200,38,180.000,10,200,181.947,130.842,0.860,7.920,179.840,127.840,135.000,6.713,1.165,0.858,0.974
201,38,201.000,201,201,297.079,304.974,0.893,8.254,296.500,301.010,96.540,5.622,1.349,0.741,0.974
202,27,202.000,202,202,345.426,479.204,0.804,6.584,342.370,480.630,18.875,5.624,1.198,0.835,0.915
203,33,203.000,203,203,546.136,495.591,0.765,8.024,543.840,492.510,128.269,6.200,1.302,0.768,0.985
204,25,199.840,100,204,180.460,141.940,0.785,6.644,179.050,139.000,122.398,5.274,1.176,0.850,0.962
205,22,205.000,205,205,584.182,472.818,0.818,5.860,582.450,470.450,110.476,5.016,1.276,0.784,0.898
206,36,206.000,206,206,567.611,484.750,0.740,9.620,564.040,482.040,149.516,5.662,1.729,0.578,0.889
207,28,207.000,207,207,200.071,497.393,0.720,7.281,196.700,495.960,142.028,5.390,1.151,0.869,0.933
208,31,208.000,208,208,369.855,463.435,0.841,6.895,367.700,460.630,121.477,6.178,1.170,0.855,0.925
209,29,209.000,209,209,383.914,351.810,0.737,7.560,384.500,347.820,90.000,5.069,1.452,0.689,0.892
210,29,210.000,210,210,47.190,471.052,1.000,6.193,44.330,472.670,20.513,5.506,1.064,0.939,0.967
211,30,211.000,211,211,426.433,455.967,0.836,7.033,426.500,452.020,108.229,5.713,1.294,0.773,0.938
212,28,212.000,212,212,269.821,235.679,0.859,6.398,268.540,232.540,107.840,5.951,1.139,0.878,1.018
213,31,213.000,213,213,399.790,423.532,0.742,7.661,397.770,420.420,127.842,5.745,1.195,0.837,0.925
214,26,214.000,214,214,123.538,514.615,0.808,6.703,120.690,512.690,128.033,5.430,1.235,0.810,0.981
215,42,211.024,48,215,633.976,482.952,0.821,8.960,630.040,485.480,19.426,6.339,1.398,0.715,1.000
216,30,216.000,216,216,307.800,266.167,0.760,7.692,305.890,262.590,128.136,5.332,1.429,0.700,0.952
217,30,217.000,217,217,281.267,144.033,0.783,6.952,278.120,142.120,140.838,5.976,1.140,0.877,0.952
218,25,218.000,218,218,695.700,501.860,0.724,6.538,693.190,500.290,141.833,5.651,1.119,0.893,0.862
219,30,219.000,219,219,175.867,499.733,0.791,7.473,173.890,496.600,127.989,5.982,1.025,0.975,0.968
220,22,220.000,220,220,226.182,222.818,0.819,6.039,224.400,220.400,135.000,5.086,1.276,0.784,0.880
221,27,221.000,221,221,331.870,239.611,0.695,7.711,328.410,237.770,142.164,5.638,1.218,0.821,0.831
222,30,212.933,86,222,504.133,517.100,0.828,6.923,501.180,518.720,12.852,5.687,1.167,0.857,0.896
223,29,223.000,223,223,229.534,510.293,0.759,6.792,228.530,513.450,73.139,5.531,1.261,0.793,1.000
224,20,224.000,224,224,346.750,292.450,0.882,5.841,344.680,290.680,135.000,4.772,1.282,0.780,1.053
225,40,220.300,178,225,364.775,493.425,0.910,7.777,362.540,490.540,127.739,6.902,1.036,0.965,1.013
226,24,226.000,226,226,432.250,416.583,0.818,6.291,430.680,413.770,129.129,4.929,1.309,0.764,0.941
227,19,227.000,227,227,254.921,230.289,0.720,5.713,252.670,228.670,135.000,4.939,1.069,0.935,0.905
228,31,228.000,228,228,255.532,310.500,0.696,8.328,253.690,306.290,109.719,5.522,1.464,0.683,0.827
229,38,198.895,141,229,189.500,145.553,0.831,8.077,188.480,149.370,75.516,6.320,1.172,0.853,0.987
230,28,230.000,230,230,641.929,477.857,0.821,6.440,639.020,479.190,27.162,5.665,1.193,0.838,0.982
231,26,231.000,231,231,315.500,218.000,0.792,6.308,314.500,220.910,68.519,5.853,1.184,0.845,0.929
232,22,232.000,232,232,73.409,464.409,0.802,6.095,70.510,462.510,135.000,4.990,1.101,0.908,0.917
233,27,233.000,233,233,190.500,104.500,0.816,7.170,188.040,102.040,135.000,5.749,1.160,0.862,0.900
234,30,234.000,234,234,221.433,246.100,0.797,7.234,221.300,242.490,100.191,5.344,1.300,0.769,0.968
235,26,235.000,235,235,217.192,79.808,0.749,6.752,215.020,81.980,52.825,5.665,1.027,0.974,0.852
236,18,236.000,236,236,250.778,498.667,0.788,5.812,248.640,496.640,135.000,4.666,1.314,0.761,0.973
237,29,237.000,237,237,199.983,97.983,0.775,7.454,198.010,94.780,128.300,5.872,1.091,0.916,0.866
238,26,238.000,238,238,249.692,209.962,0.790,6.960,246.930,208.120,141.945,5.501,1.149,0.870,0.912
239,25,239.000,239,239,218.900,156.060,0.838,6.209,216.250,154.250,140.490,5.411,1.133,0.883,0.893
240,22,240.000,240,240,297.182,239.227,0.716,6.602,294.370,237.620,150.212,4.613,1.326,0.754,0.880
241,43,241.000,241,241,173.942,114.709,0.825,9.430,170.280,111.680,146.243,6.203,1.436,0.696,1.012
